id,areaType,resTestProcedureId,resTestStandardId,displayName
30050,Round,200,414,Concrete - ASTM C39
30053,Square,200,490,Grout - IBC 21-ASTM C1019
30054,Square,200,491,Grout Cubes - ASTM C109
30055,Round,200,414,Grout Cylinders - ASTM C39
30056,Round,200,492,Insulating Concrete - ASTM C495
30057,Square,200,493,Mortar - IBC 21-ASTM C780
30058,Square,200,491,Mortar Cubes - ASTM C109M
30059,Round,200,494,Shotcrete Cores - ASTM C1140
30060,Round,200,494,Shotcrete Cylinders - ASTM C1140
30063,Round,200,495,CLSM (Lean/Flow Fill)
30067,Round,200,414,Mortar Cylinders - ASTM C39
30068,Beam,200,420,Flexural Beams - ASTM C78
30069,Round,201,415,Concrete - AASHTO T22
30070,Square,201,496,Grout Cubes - AASHTO T106
30071,Round,201,415,Grout Cylinders - AASHTO T22
30072,Square,201,496,Mortar Cubes - AASHTO T106
30073,Round,201,415,Mortar Cylinders - AASHTO T22
30074,Beam,201,421,Flexural Beams - AASHTO T97
