Column,PandasDtype,RowCount,NonNullCount,NullCount,NullPercent,UniqueCount,UniquePercentOfNonNull,IsAllNull,IsConstant,IsLikelyIdentifier,ZeroCount,NegativeCount,Minimum,Percentile01,Percentile05,Mean,Median,Percentile95,Percentile99,Maximum,StandardDeviation,NormalizedUniqueCount,PotentialFormattingDuplicateCount
uwSlump_specMin,float64,11516,6232,5284,45.88,18,0.29,False,False,False,413.0,0.0,0.0,0.0,0.0,3.111240372272144,3.0,5.0,7.0,23.5,1.3530249348736034,,
uwConcreteTemp_specMin,float64,11516,7068,4448,38.62,17,0.24,False,False,False,1.0,0.0,0.0,40.0,50.0,50.05673457838144,50.0,50.0,55.0,90.0,1.9634501445368904,,
uwConcreteTemp_specMax,float64,11516,7298,4218,36.63,12,0.16,False,False,False,0.0,0.0,60.0,80.0,90.0,90.05974239517676,90.0,90.0,95.0,590.0,6.024298160914881,,
uwAir_specMin,float64,11516,7435,4081,35.44,26,0.35,False,False,False,138.0,0.0,0.0,0.0,3.5,4.286839273705447,4.5,5.0,5.5,50.0,0.958415336557668,,
uwAir_specMax,float64,11516,8254,3262,28.33,24,0.29,False,False,False,2.0,0.0,0.0,3.0,3.0,6.995638478313545,7.5,8.5,8.5,75.0,1.8871925115299861,,
uwAir_actual,float64,11516,8384,3132,27.2,114,1.36,False,False,False,10.0,0.0,0.0,0.4,1.1,5.059061307251908,5.3,7.5,8.0,25.5,1.7660158656573721,,
uwSlump_actual,float64,11516,8992,2524,21.92,50,0.56,False,False,False,0.0,0.0,0.25,1.0,2.0,4.21120440391459,4.0,7.0,8.0,27.0,1.4765752841337898,,
uwConcreteTemp_actual,float64,11516,9035,2481,21.54,72,0.8,False,False,False,0.0,0.0,7.9,56.0,60.0,72.88430547869396,73.0,85.0,89.0,756.0,10.312442831054954,,
uwSlump_specMax,float64,11516,9520,1996,17.33,21,0.22,False,False,False,0.0,0.0,1.0,3.0,4.0,6.063918067226891,5.0,9.5,11.0,63.0,2.0054875566707926,,
BatchToCastMinutes,float64,11516,10249,1267,11.0,291,2.84,False,False,False,2.0,174.0,-1335.0,-626.0,43.0,69.29534588740366,77.0,130.0,163.0,774.0,96.7204736255201,,
castTime,string,11516,10261,1255,10.9,807,7.86,False,False,False,,,,,,,,,,,,807.0,0.0
initialCuringCondition,string,11516,10855,661,5.74,1072,9.88,False,False,False,,,,,,,,,,,,820.0,252.0
plantNumber,string,11516,10963,553,4.8,260,2.37,False,False,False,,,,,,,,,,,,236.0,24.0
FinalCure,string,11516,11059,457,3.97,2,0.02,False,False,False,,,,,,,,,,,,2.0,0.0
adMixture,string,11516,11190,326,2.83,2525,22.56,False,False,False,,,,,,,,,,,,2146.0,379.0
SupplierName,string,11516,11462,54,0.47,53,0.46,False,False,False,,,,,,,,,,,,53.0,0.0
RequiredStrength,float64,11516,11482,34,0.3,18,0.16,False,False,False,0.0,0.0,150.0,3000.0,3000.0,3818.8381815014804,4000.0,4500.0,5000.0,45000.0,737.4115741893307,,
PrecipitationType,string,11516,11483,33,0.29,6,0.05,False,False,False,,,,,,,,,,,,6.0,0.0
WindType,string,11516,11484,32,0.28,5,0.04,False,False,False,,,,,,,,,,,,5.0,0.0
mixNumber,string,11516,11487,29,0.25,1227,10.68,False,False,False,,,,,,,,,,,,1159.0,68.0
BatchToSampleMinutes,float64,11516,11488,28,0.24,280,2.44,False,False,False,3.0,146.0,-1390.0,-631.13,29.0,54.55571030640669,59.0,108.0,147.1299999999992,770.0,85.18397295962649,,
CloudType,string,11516,11490,26,0.23,6,0.05,False,False,False,,,,,,,,,,,,6.0,0.0
batchTime,string,11516,11496,20,0.17,877,7.63,False,False,False,,,,,,,,,,,,877.0,0.0
sampleTime,string,11516,11503,13,0.11,869,7.55,False,False,False,,,,,,,,,,,,869.0,0.0
ActualStrengthRange28_psi,int64,11516,11516,0,0.0,92,0.8,False,False,False,87.0,0.0,0.0,10.0,30.0,147.8234630079889,130.0,310.0,450.0,1300.0,96.76020653354713,,
AggregateMoisture_percent,float64,11516,11516,0,0.0,5617,48.78,False,False,False,800.0,2311.0,-10.4158,-1.7399,-0.980925,0.39490361236540467,0.47,1.45,2.93947,59.3289,0.973687250655238,,
AggregateSSD_lbs_yd3,float64,11516,11516,0,0.0,11380,98.82,False,False,False,0.0,0.0,2.24623653279096,390.9085167775358,887.9781417767907,1686.8597309117927,1779.518238557235,1928.86780976331,2005.6012928582352,7024.40225272242,321.64102625225354,,
AverageActualAgeDays,float64,11516,11516,0,0.0,10,0.09,False,False,False,0.0,1.0,-213.0,28.0,28.0,27.979507641542202,28.0,28.0,28.0,31.0,2.249410952147114,,
AverageActualStrength28_psi,float64,11516,11516,0,0.0,1750,15.2,False,False,False,0.0,0.0,10.0,2844.3305,3510.0,4887.138601076763,4853.33,6485.4175,7413.33,10976.67,959.739963906871,,
