FeatureSet,Method,Threshold,ThresholdUnit,Recall,Precision,F1,TrueNegatives,FalsePositives,FalseNegatives,TruePositives
Day0_Context,RegressionMargin,-500.0,psi,0.0030857848179386958,0.38461538461538464,0.006122448979591836,76624,24,4846,15
Day0_Context,RegressionMargin,-450.0,psi,0.0030857848179386958,0.375,0.006121199755152009,76623,25,4846,15
Day0_Context,RegressionMargin,-400.0,psi,0.0030857848179386958,0.36585365853658536,0.006119951040391677,76622,26,4846,15
Day0_Context,RegressionMargin,-350.0,psi,0.003702941781526435,0.4090909090909091,0.007339449541284404,76622,26,4843,18
Day0_Context,RegressionMargin,-300.0,psi,0.003908660769389015,0.38,0.007737731622887396,76617,31,4842,19
Day0_Context,RegressionMargin,-250.0,psi,0.005348693684427073,0.4482758620689655,0.010571254319983736,76616,32,4835,26
Day0_Context,RegressionMargin,-200.0,psi,0.00699444558732771,0.4927536231884058,0.013793103448275862,76613,35,4827,34
Day0_Context,RegressionMargin,-150.0,psi,0.012137420283892203,0.5514018691588785,0.023752012882447666,76600,48,4802,59
Day0_Context,RegressionMargin,-100.0,psi,0.017691832956181857,0.5375,0.03425612427803226,76574,74,4775,86
Day0_Context,RegressionMargin,-50.0,psi,0.024069121579921828,0.4978723404255319,0.04591836734693878,76530,118,4744,117
Day0_Context,RegressionMargin,0.0,psi,0.03373791400946307,0.49848024316109424,0.06319845857418112,76483,165,4697,164
Day0_Context,RegressionMargin,50.0,psi,0.04422958239045464,0.46943231441048033,0.08084226358338034,76405,243,4646,215
Day0_Context,RegressionMargin,100.0,psi,0.05760131660152232,0.426179604261796,0.10148604566872055,76271,377,4581,280
Day0_Context,RegressionMargin,150.0,psi,0.07035589384900226,0.3847019122609674,0.11895652173913043,76101,547,4519,342
Day0_Context,RegressionMargin,200.0,psi,0.08557909895083317,0.3623693379790941,0.13845897819936762,75916,732,4445,416
Day0_Context,RegressionMargin,250.0,psi,0.10532812178564081,0.33551769331585846,0.16032566149992172,75634,1014,4349,512
Day0_Context,RegressionMargin,300.0,psi,0.1236371117054104,0.3109156751163994,0.1769208124816014,75316,1332,4260,601
Day0_Context,RegressionMargin,350.0,psi,0.14729479530960707,0.29070239545269994,0.1955215729109776,74901,1747,4145,716
Day0_Context,RegressionMargin,400.0,psi,0.1725982308167044,0.2720492866407263,0.21120201384518564,74403,2245,4022,839
Day0_Context,RegressionMargin,450.0,psi,0.20839333470479326,0.26081359423274975,0.2316752429959977,73777,2871,3848,1013
Day0_Context,RegressionMargin,500.0,psi,0.245217033532195,0.24381264062180405,0.2445128205128205,72951,3697,3669,1192
